Date,Game,Length,Winner,Winning Character,Losing Character,Winning Score,Losing Score
10/22/2017,BattleCON,30,Miriam,Eligor,Shekhtur,,
10/28/2017,Mage Knight,210,TRUE,Arythea/Goldyx,,,
10/29/2017,War of the Ring,250,Miriam,Sauron,Fellowship,,
10/29/2017,BattleCON,30,Miriam,Cadenza,Hikaru,,
10/29/2017,Raptor,30,Miriam,Raptors,Scientists,,
10/29/2017,Evolution Climate,60,Miriam,,,,
11/1/2017,Innovation,60,Miriam,,,,
11/1/2017,Innovation,60,James,,,,
11/1/2017,Innovation,60,James,,,,
11/1/2017,BattleCON,30,James,Magdelina,Kalistar,,
11/1/2017,Claustrophobia,60,James,Monster,Redeemer,Scenario: Lost,
11/1/2017,Power Grid,180,Miriam,,,,
11/1/2017,Scythe,90,Miriam,,,70,65
11/1/2017,Scythe,90,James,,,56,47
11/1/2017,Scythe,90,James,Anna,,88,59
11/1/2017,Scythe,90,James,,,72,63
11/1/2017,Scythe,90,Miriam,,,77,65
11/1/2017,Scythe,90,James,,,86,60
11/1/2017,Scythe,90,James,Olga,Anna,86,37
11/1/2017,Scythe,90,Miriam,Anna,Bjorn,88,64
11/1/2017,Paperback,30,Miriam,,,,
11/1/2017,Paperback,30,James,,,,
11/1/2017,Paperback,30,James,,,,
11/1/2017,Through the Ages: A Story of Civilization,,Miriam,,,,
11/1/2017,Concordia,120,Miriam,,,,
11/1/2017,Concordia,120,Miriam,,,,
11/1/2017,Splendor,30,Miriam,,,,
11/1/2017,Splendor,30,James,,,,
11/1/2017,Splendor,30,Miriam,,,,
11/1/2017,Letters from Whitechapel,,James,Jack the Ripper,Detectives,,
11/3/2017,Mage Knight,210,TRUE,Arythea/Norowas,,,
11/4/2017,Cyclades,150,Miriam,,,,
11/4/2017,Tyrants of the Underdark,,Miriam,,,,
11/5/2017,Cyclades,150,Miriam,,,,
11/6/2017,Lost Cities,30,James,,,,
11/6/2017,Lost Cities,30,James,,,,
11/6/2017,Lost Cities,30,Miriam,,,,
11/6/2017,Dominion,60,Miriam,,,,
11/7/2017,Paperback,30,James,,,,
11/10/2017,BattleCON,30,Miriam,Kalistar,Magdelina,,
11/10/2017,Roll for the Galaxy,90,James,,,37,35
11/15/2017,War of the Ring,360,Miriam,Fellowship,Sauron,,
11/17/2017,Aeon's End,90,TRUE,,,,
11/18/2017,Istanbul,90,Miriam,,,6,4
11/19/2017,London (2nd edition),90,James,,,,
11/19/2017,Glass Road,60,James,,,,
11/19/2017,Grand Austria Hotel,90,Miriam,,,132,110
11/23/2017,Grand Austria Hotel,90,James,,,107,84
11/23/2017,Mage Knight,210,TRUE,Arythea/Tovak,,163,
11/24/2017,BattleCON,15,James,Kallistar,Vannah,,
11/25/2017,Aeon's End,90,FALSE,,,,
11/25/2017,Aeon's End,90,FALSE,,,,
11/25/2017,Aeon's End,90,TRUE,,,,
11/26/2017,Power Grid,180,Miriam,,,,
11/26/2017,Dominion,60,James,,,,
11/27/2017,Grand Austria Hotel,90,Miriam,,,161,44
11/29/2017,Codenames,,FALSE,,,,
11/29/2017,Codenames,25,FALSE,,,,
11/29/2017,Codenames,18,FALSE,,,,
11/29/2017,Codenames,15,TRUE,,,,
11/29/2017,Spirit Island,70,TRUE,Vital Strength of Earth/River Surges in Sunlight,,,
11/30/2017,Spirit Island,110,TRUE,Vital Strength of Earth/Thunderspeaker,Scenario: Kingdom Prussia Level 1,,
12/1/2017,Spirit Island,100,TRUE,Vital Strength of Earth/A Spread of Rampant Green,Played Scenario Wrong: Kingdom Prussia Level 4,,
12/1/2017,Aeon's End,55,TRUE,,,,
12/2/2017,Patchwork,,James,,,16,11
12/3/2017,Spirit Island,90,TRUE,Vital Strength of Earth/Lightning Swift Strike,Scenario: Kingdom Prussia Level 4,,
12/4/2017,Mage Knight,500,TRUE,Wolf Hawk/Brevelair,Secnario: General Volkaire Level 14 Quest,,
12/6/2017,Myrmes,124,Miriam,,,49,31